	Id	ParentId	Level	DepthInKind	BlockCode
23423	2040820412	2033599569	4	1	XH1JZ2
23424	400323027	2033599569	4	1	XH00N7
23425	1018375082	2033599569	4	1	XH4QU2
23426	1278312485	2033599569	4	1	XH0NL5
23427	1381572140	2033599569	4	1	XH35G0
23428	118941797	2033599569	4	1	XH92T7
23429	839986193	2033599569	4	1	XH35M3
23430	488432663	2033599569	4	1	XH1YN3
23431	2012230574	2033599569	4	1	XH8D74
23432	956990921	2033599569	4	1	XH4P61
23433	1920164124	2033599569	4	1	XH45J4
23434	1674951164	2033599569	4	1	XH1YY4
23435	1354430069	2033599569	4	1	XH57U9
23436	1892513495	2033599569	4	1	XH2855
23437	714913914	2033599569	4	1	XH3RZ4
23438	696732190	2033599569	4	1	XH0YB0
23439	1294602000	2033599569	4	1	XH9SY0
23440	947483629	2033599569	4	1	XH28J9
23441	2113674260	2033599569	4	1	XH3T00
23442	1740317390	2033599569	4	1	XH6GK0
23443	374301158	2033599569	4	1	XH8ZR8
23444	574508343	2033599569	4	1	XH7YE3
23445	654992073	2033599569	4	1	XH0793
23446	389646659	2033599569	4	1	XH6FK9
23447	1653542192	2033599569	4	1	XH9ZD2
23448	2003942264	2033599569	4	1	XH1DU4
23449	2076240663	162852828	3	3	
23450	823784684	2076240663	4	1	XH1N44
23451	1978867629	823784684	2	2	
23452	813068374	1978867629	3	3	
23453	278658533	813068374	4	1	XH5DX3
23454	4561886	813068374	4	1	XH4MA6
23455	275446520	813068374	4	1	XH7JU0
23456	1530551491	813068374	4	1	XH0N11
23457	1848207162	813068374	4	1	XH9HE2
23458	1363606708	813068374	4	1	XH91Y8
23459	726265939	813068374	4	1	XH5S99
23460	186069535	813068374	4	1	XH5ZB5
23461	1174227268	813068374	4	1	XH6RL8
23462	1903375600	813068374	4	1	XH1VJ0
23463	1310502778	813068374	4	1	XH59X8
23464	873702297	813068374	4	1	XH9SM7
23465	340615637	813068374	4	1	XH50P7
23466	1606779421	813068374	4	1	XH4RU1
23467	896212294	813068374	4	1	XH70H4
23468	1070594248	1978867629	3	3	
23469	1892102227	1070594248	4	1	XH6NJ7
23470	542708084	1070594248	4	1	XH7284
23471	805930455	1070594248	4	1	XH75P5
23472	533951082	1070594248	4	1	XH9JC2
23473	253357020	1070594248	4	1	XH6PQ0
23474	1791116905	1070594248	4	1	XH0WW5
23475	1350306447	1070594248	4	1	XH8HJ7
23476	285653930	1978867629	3	3	
23477	788881778	285653930	4	1	XH2CH8
23478	2140880977	285653930	4	1	XH7AR7
23479	1708949131	285653930	4	1	XH2YZ1
23480	553558274	285653930	4	1	XH5NK4
23481	1336454107	285653930	4	1	XH07C7
23482	170771490	285653930	4	1	XH2M30
23483	1025049113	170771490	2	2	
23484	501248037	1025049113	3	3	
23485	1588208727	501248037	4	1	XH8A47
23486	737761460	501248037	4	1	XH06N0
23487	1055004268	501248037	4	1	XH3BQ8
23488	656176163	501248037	4	1	XH2MW3
23489	960588983	501248037	4	1	XH5XQ3
23490	456084400	501248037	4	1	XH3NQ0
23491	1911217913	501248037	4	1	XH0953
23492	1300123910	501248037	4	1	XH7FV0
23493	817620506	501248037	4	1	XH8E66
23494	2142449293	501248037	4	1	XH2ZF3
23495	517281030	501248037	4	1	XH7GT0
23496	1934576716	501248037	4	1	XH0XH6
23497	2072279196	501248037	4	1	XH2WT6
23498	112951513	501248037	4	1	XH0WB3
23499	647923111	501248037	4	1	XH8Q71
23500	874951076	501248037	4	1	XH7TH6
23501	274879910	501248037	4	1	XH8JB0
23502	1636614011	501248037	4	1	XH5LM1
23503	1194400465	501248037	4	1	XH1UJ5
23504	138007110	501248037	4	1	XH8B90
23505	492885116	501248037	4	1	XH7436
23506	264092854	501248037	4	1	XH5DP4
23507	1141432861	501248037	4	1	XH9VG1
23508	1375097941	501248037	4	1	XH33Q1
23509	153851843	501248037	4	1	XH8ZE3
23510	1878226710	1025049113	3	1	XH6C70
23511	405907275	1025049113	3	3	
23512	2086908734	405907275	4	1	XH8EV4
23513	1484842830	405907275	4	1	XH6LT0
23514	2027824386	405907275	4	1	XH7BC6
23515	1937607646	405907275	4	1	XH3406
23516	1470029742	405907275	4	1	XH56W2
23517	912217173	405907275	4	1	XH1HP3
23518	1011320031	405907275	4	1	XH4EP1
23519	942040483	405907275	4	1	XH1DA3
23520	461616028	405907275	4	1	XH2668
23521	1094503907	405907275	4	1	XH0947
23522	1931778850	405907275	4	1	XH8WH0
23523	666616915	1025049113	3	3	
23524	295890116	666616915	4	1	XH6116
23525	1314962913	666616915	4	1	XH13Z3
23526	2072150277	666616915	4	1	XH1RM7
23527	843411995	666616915	4	1	XH9HH5
23528	563152712	666616915	4	1	XH5MH2
23529	1263833631	666616915	4	1	XH85R1
23530	879735040	666616915	4	1	XH1N00
23531	909105955	666616915	4	1	XH2D15
23532	2032604088	666616915	4	1	XH0TA8
23533	1566832566	666616915	4	1	XH9526
23534	157876805	666616915	4	1	XH75J5
23535	1652009742	666616915	4	1	XH7E62
23536	763323291	666616915	4	1	XH1EH1
23537	619456530	666616915	4	1	XH66Z0
23538	1104754035	666616915	4	1	XH6YK5
23539	313677538	666616915	4	1	XH4QZ8
23540	785217354	666616915	4	1	XH5CT4
23541	87038938	666616915	4	1	XH9AV8
23542	1906873881	666616915	4	1	XH4GL1
23543	875428322	666616915	4	1	XH9362
23544	8987040	875428322	2	2	
23545	2142372543	8987040	3	3	
23546	872358015	2142372543	4	1	XH3GV5
23547	1265120007	2142372543	4	1	XH9F67
23548	73464724	2142372543	4	1	XH52Q4
23549	793849214	2142372543	4	1	XH22M4
23550	710558848	8987040	3	3	
23551	1524166413	710558848	4	1	XH8AD3
23552	544232350	8987040	3	3	
23553	817547820	544232350	4	1	XH24E0
23554	807238234	544232350	4	1	XH0A34
23555	1898283933	544232350	4	1	XH1E13
23556	699932325	544232350	4	1	XH7SG5
23557	590723529	544232350	4	1	XH0N49
23558	747385179	544232350	4	1	XH2PP9
23559	1497019688	544232350	4	1	XH9Z28
23560	625245284	544232350	4	1	XH6YQ4
23561	1589823811	544232350	4	1	XH80D1
23562	372407741	544232350	4	1	XH56W1
23563	1084215767	544232350	4	1	XH09W7
23564	2013052154	544232350	4	1	XH9FM4
23565	234074139	544232350	4	1	XH8MB9
23566	849095571	544232350	4	1	XH15X1
23567	1090546939	544232350	4	1	XH7YZ9
23568	1645035534	544232350	4	1	XH43T4
23569	1507806648	544232350	4	1	XH33E8
23570	1277295600	544232350	4	1	XH2PS1
23571	1639667239	544232350	4	1	XH9QP9
23572	1449575722	544232350	4	1	XH5U02
23573	333687507	544232350	4	1	XH5PU7
23574	1132301298	8987040	3	3	
23575	582746121	1132301298	4	1	XH0K61
23576	383307665	1132301298	4	1	XH83G5
23577	1017912001	1132301298	4	1	XH4NU1
23578	1735683502	1132301298	4	1	XH5MG2
23579	1802811819	1132301298	4	1	XH2KP9
23580	102571163	1132301298	4	1	XH2XW3
23581	218746635	102571163	2	2	
23582	1217175794	218746635	3	3	
23583	1629916831	1217175794	4	1	XH6911
23584	1028730511	1217175794	4	1	XH0HZ1
23585	224576773	218746635	3	3	
23586	1231950652	224576773	4	1	XH0492
23587	682596551	224576773	4	1	XH84X1
23588	1323861679	218746635	3	3	
23589	608573942	1323861679	4	1	XH4TC2
23590	1581847831	1323861679	4	1	XH81M1
23591	1863761869	1323861679	4	1	XH52J9
23592	763252649	1323861679	4	1	XH5AQ9
23593	1079699653	763252649	2	2	
23594	776593826	1079699653	3	3	
23595	186702659	776593826	4	1	XH0RF9
23596	488878256	776593826	4	1	XH0H76
23597	1245588182	1079699653	3	1	XH9UN2
23598	1590381103	1079699653	3	3	
23599	2011571705	1590381103	4	1	XH1DC5
23600	1593883407	1590381103	4	1	XH96C7
23601	1962792863	1590381103	4	1	XH1S63
23602	1419974099	1590381103	4	1	XH54D9
23603	1687223897	1590381103	4	1	XH3M77
23604	1096655771	1590381103	4	1	XH6E51
23605	829995112	1590381103	4	1	XH8W32
23606	1627611607	1590381103	4	1	XH6UY7
23607	513798842	1590381103	4	1	XH6922
23608	1180465075	1590381103	4	1	XH6C35
23609	1313053561	1590381103	4	1	XH5Y81
23610	1253852583	1590381103	4	1	XH4RQ3
23611	193248354	1590381103	4	1	XH6ZH4
23612	38838668	1590381103	4	1	XH9RC8
23613	2063996909	1590381103	4	1	XH6F49
23614	731395788	1590381103	4	1	XH9J28
23615	124030582	1590381103	4	1	XH99U2
23616	1052848374	1590381103	4	1	XH6UV4
23617	81316964	1590381103	4	1	XH4BJ4
23618	1312836652	1590381103	4	1	XH7692
23619	1898960802	1590381103	4	1	XH9YU2
23620	1048620871	1590381103	4	1	XH1511
23621	72739247	1590381103	4	1	XH2AY7
23622	1264394556	1590381103	4	1	XH6PH6
23623	231121448	1590381103	4	1	XH36Y8
23624	696403494	1590381103	4	1	XH2HK4
23625	487340946	1590381103	4	1	XH7HQ6
23626	1217361825	1590381103	4	1	XH83Y5
23627	371288018	1590381103	4	1	XH8BK8
23628	581900902	1590381103	4	1	XH7F82
23629	1198831571	1590381103	4	1	XH5571
23630	1391600051	1590381103	4	1	XH0MB1
23631	899856825	1590381103	4	1	XH29Q5
23632	1459145409	1590381103	4	1	XH3N49
23633	1771524425	1590381103	4	1	XH61Y5
23634	1739022363	1590381103	4	1	XH4FN3
23635	867014124	1590381103	4	1	XH17J4
23636	1235392779	1590381103	4	1	XH7W59
23637	1993147011	1590381103	4	1	XH7K31
23638	1384769153	1590381103	4	1	XH9QF3
23639	1711774517	1590381103	4	1	XH7CX7
23640	1180260729	1590381103	4	1	XH8P29
23641	1698853218	1590381103	4	1	XH9M38
23642	955182444	1590381103	4	1	XH8844
23643	2025477627	1590381103	4	1	XH4B47
23644	1162549306	1590381103	4	1	XH6JN6
23645	354755197	1590381103	4	1	XH85M7
23646	1512958696	1590381103	4	1	XH8SH6
23647	464692063	1590381103	4	1	XH89C3
23648	1877382372	1590381103	4	1	XH3AV2
23649	552492151	1590381103	4	1	XH3EX1
23650	713425803	1590381103	4	1	XH5163
23651	1703856928	1590381103	4	1	XH2FW8
23652	1103769374	1590381103	4	1	XH1SH4
23653	437409905	1590381103	4	1	XH87Q5
23654	16820265	1590381103	4	1	XH51C5
23655	2064622792	1590381103	4	1	XH0KZ2
23656	1147158338	1590381103	4	1	XH5538
23657	1027553794	1590381103	4	1	XH8R14
23658	310362286	1590381103	4	1	XH7Y86
23659	1476046677	1590381103	4	1	XH5PR7
23660	13531075	1590381103	4	1	XH0H95
23661	221360525	1590381103	4	1	XH8UC5
23662	913133221	1590381103	4	1	XH0RY1
23663	486302565	1590381103	4	1	XH7PN5
23664	1881658944	1590381103	4	1	XH3904
